Frame,Static 1,Static 2,Static 3,Static 4,Static 5,No Static 1,No Static 2,No Static 3,No Static 4,No Static 5
123,6.3943,5.5731,5.5612,5.5633,5.5723,16.8,5.55,5.6153,5.9827,5.5993
124,9.039101,8.7779,5.5638,11.4643,9.4993,5.5898,11.1117,8.7731,11.3048,8.107201
125,5.5678,5.5623,8.6584,5.5706,5.7277,8.2094,5.55,5.5799,6.5184,5.5715
126,5.574,5.5634,5.5613,9.6205,5.5708,5.6044,5.55,10.4102,9.385099,9.7853
127,9.263,9.6969,5.7904,5.5671,10.4012,5.5619,5.5603,5.7532,5.5613,5.5666
128,5.5736,6.1618,9.8232,5.568,6.0744,10.0391,5.55,10.3506,5.7711,5.5585
129,5.5756,9.1275,5.5681,8.2794,10.447,5.5669,5.55,5.5591,9.0531,8.1956
130,9.642301,6.0178,11.5925,5.5627,5.5606,10.3247,11.0755,5.5621,5.5617,5.5576
131,5.5586,6.7177,5.55,5.5711,6.1607,5.566,5.578,10.4402,5.5679,5.5896
132,5.5563,9.8251,5.5586,8.9484,9.2331,5.5565,5.55,19.3246,9.138,8.729799
133,10.5171,6.0237,17.0199,5.5616,5.5697,9.6979,11.1182,5.5694,5.5561,5.55
134,5.5652,6.6505,5.5695,5.5599,5.55,5.5586,5.587,8.1936,5.5655,5.5614
135,5.5584,8.758801,9.095,8.6661,8.611899,5.5679,5.55,11.3653,9.257099,8.835
136,9.5105,5.561,5.9102,5.5618,6.2339,8.7128,5.55,5.579,5.5702,5.5603
137,5.701,6.8638,10.3957,5.5677,5.7494,5.5676,11.0715,10.0021,5.5589,5.5622
138,5.5691,9.0334,5.5709,10.2168,11.2687,5.5788,5.55,5.9519,8.960501,8.383
139,10.4771,5.565,5.7174,5.5656,5.5792,9.9798,5.579,6.4003,5.5592,5.5592
140,5.8456,10.0435,9.2177,5.563,9.671,5.55,5.55,8.5138,5.5835,5.5745
141,10.2308,5.5629,5.5712,8.641899,5.9455,5.5817,5.55,6.9047,8.7289,9.2511
142,6.1241,5.55,19.8773,5.55,6.2826,10.0407,11.147,6.6839,5.5634,5.561
143,6.3725,9.5936,5.55,5.6952,9.5988,5.5632,5.5618,9.1784,5.5685,6.1757
144,9.1538,5.5671,9.8271,9.4136,6.3487,5.5689,11.0901,5.5667,9.559899,7.5134
145,5.55,5.55,5.6205,5.567,5.758,8.5536,5.55,9.699201,5.5619,5.5598
146,5.5723,10.0688,5.6176,5.571,10.1411,6.0681,5.55,5.9604,5.8641,5.8575
147,9.5814,5.55,10.4927,8.7516,6.5923,5.895,11.1339,5.5793,9.1158,9.414499
148,5.5643,5.5804,5.5599,5.8927,9.028,10.3516,5.55,9.987,5.55,5.5668
149,5.5723,10.1982,5.567,5.6812,5.8187,5.5607,11.1117,5.5611,5.5865,5.5577
150,8.7949,5.5719,9.1234,10.1774,6.5167,10.6382,5.55,5.5776,9.1327,8.6269
151,5.5559,5.5578,5.5616,5.8543,9.242399,5.55,5.55,8.837601,5.55,5.9916
152,5.565,10.0009,5.5589,9.8799,6.0744,5.5713,5.55,5.5583,6.4719,5.5902
153,8.5125,6.1466,9.2946,5.55,5.556,10.0894,5.55,5.5637,8.972199,9.7885
154,5.96,10.6429,5.562,5.5845,10.5458,5.5581,11.092,10.7933,6.2264,5.5606
155,5.5791,6.248,9.964601,9.5863,5.572,5.5726,5.5753,6.0201,9.1475,5.5693
156,9.6109,5.5659,5.5632,5.6727,9.6733,10.5564,5.5686,9.8866,6.0292,10.2703
157,5.5776,9.6843,5.5646,5.9508,6.0522,6.1311,5.55,6.2838,5.5644,5.5809
158,10.7802,5.5663,9.343201,9.4327,5.888,9.4568,5.55,5.5887,10.1141,10.8987
159,5.5596,5.564,5.5581,5.6391,10.1865,5.5609,11.1268,10.5798,5.9035,5.563
160,5.5654,9.3439,6.974,5.5666,6.0892,5.55,5.55,5.5684,5.5869,5.5648
161,9.6616,5.5617,8.5996,10.3346,5.7299,9.8454,5.55,5.567,9.473701,9.6401
162,5.55,5.55,5.5653,5.55,9.979501,5.55,5.55,9.9224,5.5649,6.0021
163,5.5655,9.3344,5.5614,5.5702,6.3931,5.9173,11.0973,5.5556,5.55,5.6813
164,20.4968,5.5838,8.0091,10.7962,5.5594,9.7609,5.5589,5.6971,9.2896,10.6135
165,5.5692,10.6851,6.0518,5.5773,10.6014,5.55,5.5774,9.5203,5.5735,5.5853
166,8.351701,5.5655,5.6856,10.4634,6.0975,5.5922,5.55,5.573,5.5584,10.4166
167,5.575,5.5764,16.3402,5.5595,9.413501,9.432,5.572,10.4918,9.1187,5.7245
168,10.9852,9.4521,5.5785,5.5796,5.566,5.5692,5.55,5.9093,5.5658,7.6093
169,5.5647,5.56,8.8876,8.816,5.5574,5.7758,11.0819,5.7468,5.7529,8.5642
170,5.5669,5.5643,5.55,5.9348,9.6507,9.133599,5.5568,10.1758,20.725,5.5653
171,8.644401,9.8482,6.0749,5.5794,5.575,5.55,5.5633,5.5598,5.5831,5.55
172,5.5677,5.55,10.5142,10.8899,6.554,5.5621,5.55,5.586,8.297501,8.8997
173,5.5654,5.5657,5.5657,5.5801,9.488,9.7897,11.1326,8.606,6.2424,5.55
174,8.3533,10.3099,10.1725,9.715699,6.1647,5.5704,5.5627,5.5634,9.597401,5.5707
175,5.55,5.7959,5.5558,5.558,9.9043,9.3647,11.0762,5.5731,6.312,9.5476
176,5.55,5.5658,5.5894,6.0668,5.7167,5.5639,5.6003,9.828,9.5501,5.7299
177,9.3879,10.137,9.0755,8.4345,6.6102,5.5591,5.55,5.6791,5.5611,6.057
178,5.7505,5.5766,5.5627,5.5699,8.4683,8.4038,11.1182,5.581,5.8985,9.058
179,5.569,10.4369,5.5681,5.566,5.5703,5.7076,5.55,9.8298,8.4465,5.6917
180,9.8209,5.5678,9.9319,9.619,5.5682,5.5645,5.55,5.5745,5.5618,5.5783
181,5.5667,5.7531,5.55,5.9883,9.0001,16.6236,11.1071,9.3464,5.8329,10.313
182,9.5623,9.6032,5.5739,6.7294,5.7176,5.5688,5.55,5.5665,8.9857,5.5596
183,5.5635,6.2294,9.6182,8.6735,5.6263,8.3784,5.55,5.5559,5.5635,10.6914
184,5.5921,5.557,5.5596,5.55,10.5492,5.5577,11.1139,8.9884,5.5677,5.6638
185,9.6771,10.8273,5.55,5.5951,6.3407,5.5708,5.5744,5.5675,9.1213,7.0213
186,6.0177,5.5571,9.3168,8.531,5.57,8.3249,5.55,5.5592,5.5635,8.456201
187,5.737,10.3402,5.5682,5.5676,9.892099,5.7901,5.55,9.7582,5.55,5.5682
188,9.2208,6.3436,5.55,5.55,6.1777,5.5602,11.0863,5.5627,9.2684,5.55
189,5.7946,5.8886,10.427,8.289399,10.3491,10.7217,5.55,5.5577,5.5638,10.0411
190,6.3841,9.8254,5.5709,5.5764,5.55,5.5706,5.5703,10.4139,5.5707,5.5629
191,10.2213,18.5145,10.8518,5.55,5.5788,5.5561,11.0892,6.4125,8.733,5.5581
192,6.841,5.5674,5.5617,8.7709,10.9585,9.2626,5.5703,6.8706,5.8509,8.8836
193,9.1525,9.102201,5.5639,5.55,5.7544,5.8906,5.55,9.3314,5.9927,5.576
194,5.55,10.7737,9.9055,5.5985,6.131,5.988,11.1028,6.6419,10.369,5.55
195,5.5638,6.9634,5.5616,9.2394,10.4944,9.2684,5.5944,10.1515,6.2424,9.9544
196,21.7994,9.3936,5.5871,5.5757,5.5811,5.5646,5.55,6.6608,10.0886,6.3884
197,5.5696,5.55,9.3414,5.55,9.907,5.5746,5.55,6.0685,6.0527,9.656899
